0.29269,-0.14665,-0.3593;0.29111,-0.15948,-0.31258;0.29904,-0.15647,-0.27064;0.30674,-0.15228,-0.23606;0.30983,-0.15254,-0.21002;0.34291,-0.1056,-0.27906;0.36954,-0.08436,-0.24557;0.38627,-0.07397,-0.22773;0.39821,-0.06658,-0.21485;0.35281,-0.09299,-0.30403;0.38468,-0.06703,-0.2761;0.40532,-0.05371,-0.25929;0.41977,-0.04597,-0.24757;0.35702,-0.08806,-0.33092;0.38807,-0.06337,-0.31379;0.41074,-0.04843,-0.30325;0.4266,-0.03875,-0.29568;0.35643,-0.0898,-0.35821;0.38255,-0.06888,-0.3535;0.40108,-0.05588,-0.35158;0.41732,-0.04438,-0.34939;
0.24162,-0.10483,-0.32995;0.24045,-0.12278,-0.29288;0.25105,-0.12169,-0.25742;0.26329,-0.11634,-0.23054;0.27157,-0.11534,-0.21232;0.28879,-0.07679,-0.26148;0.31512,-0.06094,-0.23255;0.3339,-0.05531,-0.21695;0.34744,-0.05158,-0.20576;0.29778,-0.06492,-0.28248;0.32645,-0.0458,-0.25726;0.3472,-0.03648,-0.2405;0.36235,-0.03193,-0.22922;0.30186,-0.0599,-0.30658;0.32963,-0.04028,-0.29329;0.3503,-0.028,-0.2828;0.36509,-0.0204,-0.27535;0.30179,-0.06149,-0.33206;0.32424,-0.04473,-0.32879;0.33988,-0.03376,-0.32601;0.35351,-0.02478,-0.32321;
0.3412,-0.17471,-0.367;0.32994,-0.18974,-0.32238;0.33598,-0.18324,-0.27517;0.34179,-0.17482,-0.2356;0.34139,-0.17185,-0.20146;0.39195,-0.13188,-0.27816;0.41948,-0.11052,-0.24144;0.44029,-0.0986,-0.22129;0.456,-0.0888,-0.20643;0.40241,-0.11774,-0.30595;0.43315,-0.09079,-0.27615;0.45432,-0.07514,-0.25539;0.47006,-0.06647,-0.24009;0.40501,-0.1116,-0.33693;0.43479,-0.08439,-0.32287;0.45452,-0.06733,-0.30956;0.46827,-0.05755,-0.29889;0.40201,-0.11231,-0.36882;0.42392,-0.09034,-0.36356;0.4386,-0.07607,-0.35768;0.45248,-0.06414,-0.35092;
0.23123,-0.08413,-0.32115;0.22669,-0.09584,-0.28314;0.23486,-0.09221,-0.24856;0.24377,-0.08773,-0.22036;0.24943,-0.08848,-0.19647;0.2759,-0.05127,-0.2592;0.30201,-0.03421,-0.23359;0.32029,-0.03026,-0.21995;0.33309,-0.02929,-0.21051;0.28539,-0.04394,-0.28145;0.31503,-0.02398,-0.26258;0.33404,-0.0191,-0.24892;0.34728,-0.01913,-0.23855;0.28972,-0.04288,-0.30472;0.31814,-0.02444,-0.29638;0.33705,-0.01806,-0.28826;0.34987,-0.01581,-0.28165;0.2901,-0.04712,-0.32777;0.31258,-0.03263,-0.32678;0.32732,-0.02575,-0.3246;0.33982,-0.02085,-0.322;
0.23123,-0.08413,-0.32115;0.22669,-0.09584,-0.28314;0.23486,-0.09221,-0.24856;0.24377,-0.08773,-0.22036;0.24943,-0.08848,-0.19647;0.2759,-0.05127,-0.2592;0.30201,-0.03421,-0.23359;0.32029,-0.03026,-0.21995;0.33309,-0.02929,-0.21051;0.28539,-0.04394,-0.28145;0.31503,-0.02398,-0.26258;0.33404,-0.0191,-0.24892;0.34728,-0.01913,-0.23855;0.28972,-0.04288,-0.30472;0.31814,-0.02444,-0.29638;0.33705,-0.01806,-0.28826;0.34987,-0.01581,-0.28165;0.2901,-0.04712,-0.32777;0.31258,-0.03263,-0.32678;0.32732,-0.02575,-0.3246;0.33982,-0.02085,-0.322;
0.20123,-0.03987,-0.31526;0.19286,-0.04841,-0.2773;0.19968,-0.04345,-0.24678;0.20902,-0.03896,-0.22413;0.21749,-0.0373,-0.2035;0.23582,-0.00287,-0.25871;0.26129,0.01456,-0.23921;0.28005,0.01966,-0.22751;0.29374,0.02111,-0.21959;0.24958,0.00011,-0.27922;0.27927,0.02051,-0.26691;0.30021,0.02525,-0.25562;0.31544,0.0255,-0.24632;0.25911,-0.00301,-0.29887;0.2867,0.01339,-0.29513;0.305,0.01905,-0.28787;0.31726,0.02044,-0.28156;0.26572,-0.01021,-0.31612;0.28689,-0.00037,-0.3138;0.29949,0.00212,-0.3093;0.30922,0.00247,-0.30464;
0.20995,-0.03226,-0.31469;0.20572,-0.03645,-0.27371;0.21582,-0.02799,-0.24122;0.22928,-0.01944,-0.21763;0.24085,-0.01604,-0.19849;0.24472,0.01445,-0.25881;0.27107,0.03479,-0.23949;0.28858,0.03616,-0.22885;0.29984,0.03321,-0.22235;0.25809,0.01755,-0.28068;0.2882,0.04033,-0.26482;0.30836,0.03973,-0.25263;0.32086,0.034,-0.24352;0.26759,0.01408,-0.30083;0.29493,0.03237,-0.29051;0.31246,0.03261,-0.28013;0.32256,0.02847,-0.27215;0.27414,0.00629,-0.3191;0.29602,0.01841,-0.31354;0.30884,0.01962,-0.30749;0.31757,0.01757,-0.30201;
0.20335,-0.0185,-0.31335;0.19373,-0.01666,-0.27237;0.20221,-0.0028,-0.2415;0.21319,0.00856,-0.21907;0.22451,0.01748,-0.19831;0.2388,0.03309,-0.26618;0.26259,0.05072,-0.24801;0.279,0.0506,-0.23455;0.2895,0.04613,-0.22612;0.25182,0.03071,-0.286;0.27988,0.05151,-0.27123;0.29886,0.05091,-0.2573;0.31159,0.04491,-0.24612;0.26125,0.02362,-0.3026;0.28701,0.03908,-0.29212;0.30391,0.03944,-0.27966;0.31401,0.03518,-0.2695;0.26752,0.01355,-0.31711;0.2876,0.02337,-0.31162;0.29941,0.02464,-0.30432;0.30768,0.02224,-0.29705;
0.20335,-0.0185,-0.31335;0.19373,-0.01666,-0.27237;0.20221,-0.0028,-0.2415;0.21319,0.00856,-0.21907;0.22451,0.01748,-0.19831;0.2388,0.03309,-0.26618;0.26259,0.05072,-0.24801;0.279,0.0506,-0.23455;0.2895,0.04613,-0.22612;0.25182,0.03071,-0.286;0.27988,0.05151,-0.27123;0.29886,0.05091,-0.2573;0.31159,0.04491,-0.24612;0.26125,0.02362,-0.3026;0.28701,0.03908,-0.29212;0.30391,0.03944,-0.27966;0.31401,0.03518,-0.2695;0.26752,0.01355,-0.31711;0.2876,0.02337,-0.31162;0.29941,0.02464,-0.30432;0.30768,0.02224,-0.29705;
0.19965,-0.01191,-0.3169;0.19299,-0.00679,-0.27485;0.20434,0.00781,-0.2473;0.21797,0.01943,-0.22774;0.23126,0.02838,-0.20838;0.24322,0.04343,-0.26782;0.26945,0.05962,-0.25077;0.28483,0.0618,-0.23825;0.29402,0.0609,-0.2302;0.25723,0.04253,-0.2874;0.28482,0.05682,-0.27052;0.29802,0.05355,-0.25565;0.30602,0.04801,-0.2443;0.2668,0.03562,-0.30349;0.29102,0.04495,-0.29024;0.30165,0.04241,-0.2757;0.30647,0.03696,-0.26443;0.27307,0.02562,-0.31597;0.29207,0.0314,-0.30564;0.29958,0.02924,-0.29546;0.30355,0.02491,-0.28678;
0.24617,-0.03808,-0.32726;0.24053,-0.02563,-0.28385;0.25321,-0.00819,-0.25535;0.26956,0.00704,-0.23429;0.28649,0.0222,-0.2129;0.28987,0.02611,-0.29111;0.31865,0.04204,-0.27413;0.33847,0.04591,-0.25887;0.35126,0.04714,-0.24954;0.30348,0.02034,-0.30839;0.33034,0.02744,-0.28631;0.33712,0.0178,-0.26799;0.34021,0.0118,-0.26146;0.31429,0.01024,-0.32034;0.33777,0.01458,-0.3013;0.34054,0.00754,-0.28482;0.33957,0.00238,-0.27874;0.32327,-0.00046,-0.32854;0.34065,0.00221,-0.31293;0.34312,-0.00205,-0.30032;0.34382,-0.0056,-0.29458;
0.24617,-0.03808,-0.32726;0.24053,-0.02563,-0.28385;0.25321,-0.00819,-0.25535;0.26956,0.00704,-0.23429;0.28649,0.0222,-0.2129;0.28987,0.02611,-0.29111;0.31865,0.04204,-0.27413;0.33847,0.04591,-0.25887;0.35126,0.04714,-0.24954;0.30348,0.02034,-0.30839;0.33034,0.02744,-0.28631;0.33712,0.0178,-0.26799;0.34021,0.0118,-0.26146;0.31429,0.01024,-0.32034;0.33777,0.01458,-0.3013;0.34054,0.00754,-0.28482;0.33957,0.00238,-0.27874;0.32327,-0.00046,-0.32854;0.34065,0.00221,-0.31293;0.34312,-0.00205,-0.30032;0.34382,-0.0056,-0.29458;
