493.72702,1495.69885,-0.00077;476.40958,1279.15576,2.73633;489.55569,1089.02588,4.53516;503.67792,933.89301,5.97656;507.05261,817.62823,6.94531;599.6698,1129.73303,8.49219;652.68042,982.79889,13.48438;680.81952,906.70264,17.875;700.44104,852.88013,21.01562;625.05469,1241.19983,9.65625;688.0238,1117.48389,15.78906;722.4043,1044.79419,21.17188;743.51263,995.30414,25.5625;634.65826,1359.73474,10.82031;694.40668,1280.94348,17.34375;732.00879,1232.6084,23.375;756.41608,1198.74463,27.89062;630.85004,1478.69177,12.02344;681.02802,1452.35486,17.75;712.90039,1439.22778,22.57812;740.3125,1425.93311,26.75;
492.87408,1425.99353,-0.00023;466.05896,1224.68994,6.07422;481.72729,1040.86902,10.92188;504.79263,905.66553,15.16406;516.25323,816.30719,19.21875;591.07672,1066.35498,14.23438;642.40857,924.18127,22.42188;668.27185,851.79962,31;685.64362,802.07764,37.34375;617.88452,1173.51831,15.20312;675.57068,1047.86096,23.5;708.15533,967.56317,31.59375;727.33923,915.789,38.5625;628.77057,1294.7489,16.32812;685.56854,1225.55383,24.25;722.40106,1172.42334,31.1875;745.91797,1135.60864,36.6875;625.08447,1420.86279,17.90625;672.18445,1399.65649,24.17188;702.88147,1382.50195,28.84375;728.06018,1365.82312,33.15625;
502.35608,1486.87927,-0.00093;475.26016,1303.31702,-1.43457;490.11481,1109.77185,-2.11328;506.89044,947.12787,-3.36328;511.17316,804.53503,-5.55469;601.46722,1125.38696,7.07812;650.61792,980.97931,11.89844;681.01581,904.41638,17.23438;704.38434,849.45026,21;626.30927,1238.01929,7.96875;684.16504,1120.43176,12.57812;719.22583,1040.00171,16.76562;740.74097,981.74866,20.92188;634.86591,1362.82166,7.94531;691.62408,1305.91248,12.4375;727.29889,1253.10291,15.64062;748.96472,1210.82593,18.57812;630.43024,1490.9231,7.63672;674.76068,1468.73364,10.39844;703.5705,1444.58923,12.34375;728.45068,1416.54102,14.69531;
507.25934,1410.24207,-0.00031;484.68835,1197.3623,1.13672;502.43076,1007.54626,3.45117;521.88397,855.28149,6.08203;528.651,728.21588,9.23438;615.53546,1071.88428,11.30469;671.21429,939.87598,19.32812;694.56403,873.49677,28.89062;707.14252,829.82635,36.4375;636.12372,1190.52209,14.875;698.34491,1092.32324,24.09375;722.8573,1022.88776,33.6875;733.37964,972.15094,41.96875;640.69,1311.35474,18.09375;697.94763,1264.28809,27.625;724.36499,1219.19458,36.65625;738.09869,1183.67725,43.71875;632.56494,1428.05664,21.21875;677.37109,1416.82202,29.01562;701.36279,1400.43201,35.3125;719.5415,1382.71252,41.0625;
507.25934,1410.24207,-0.00031;484.68835,1197.3623,1.13672;502.43076,1007.54626,3.45117;521.88397,855.28149,6.08203;528.651,728.21588,9.23438;615.53546,1071.88428,11.30469;671.21429,939.87598,19.32812;694.56403,873.49677,28.89062;707.14252,829.82635,36.4375;636.12372,1190.52209,14.875;698.34491,1092.32324,24.09375;722.8573,1022.88776,33.6875;733.37964,972.15094,41.96875;640.69,1311.35474,18.09375;697.94763,1264.28809,27.625;724.36499,1219.19458,36.65625;738.09869,1183.67725,43.71875;632.56494,1428.05664,21.21875;677.37109,1416.82202,29.01562;701.36279,1400.43201,35.3125;719.5415,1382.71252,41.0625;
537.65289,1433.68604,-6E-05;512.52356,1195.39246,-3.37109;533.23029,1003.216,-2.30859;555.70343,862.90015,1.23535;571.11981,738.32843,5.73438;656.10309,1086.47229,3.49414;719.03009,970.7865,12.28906;747.02032,904.98627,23;761.71307,863.14996,32.0625;674.88538,1209.38159,13.0625;744.71429,1136.15442,23.73438;771.95721,1069.69177,36.28125;784.35919,1017.55896,47.0625;676.65155,1319.34265,22.6875;734.20209,1292.22754,34.3125;760.49963,1246.0979,44.59375;772.78369,1207.7229,52.6875;667.92584,1409.10498,32.21875;706.23358,1387.6864,42.625;721.93695,1356.39258,50.46875;730.7912,1325.80225,57.3125;
560.24963,1430.7699,-0.0002;549.72827,1176.32935,-2.74414;581.22656,975.05811,-1.17676;615.84912,832.63458,3.2168;637.00165,721.14777,9.11719;697.94226,1094.63477,-1.39062;767.1424,980.18188,6.51172;784.83215,919.62769,18.25;787.59247,884.82184,27.82812;715.26984,1226.53552,7.82812;789.97046,1132.71313,17.375;804.24866,1059.55847,32.03125;801.84711,1007.60803,43.875;714.99664,1339.4071,17.5625;775.84424,1275.63245,27.67188;789.96234,1210.14478,40.03125;789.42908,1161.87244,49.3125;703.82477,1434.41248,27.3125;746.52838,1395.58154,36.84375;759.25604,1354.58228,45.40625;762.22528,1318.76172,52.6875;
574.5423,1440.04553,-0.00107;568.94232,1181.41919,-10.3125;611.63007,979.94543,-12.82031;651.54944,833.83331,-11.66406;685.95093,700.87451,-8.83594;728.23108,1151.47791,-3.1582;791.17438,1038.20471,4.59375;804.9364,955.66278,16.57812;803.59332,906.64679,26.64062;733.02472,1270.88733,9.03906;803.53156,1179.85486,18.5;817.13104,1092.57239,32.6875;814.07642,1025.99268,45.15625;724.73163,1361.70752,20.89062;779.6264,1294.33997,31.70312;794.0152,1215.30762,43.84375;793.37067,1153.60413,53.40625;708.35083,1434.69336,31.85938;745.77942,1395.29187,41.625;758.28778,1347.22632,49.625;760.51129,1300.9436,56.90625;
574.5423,1440.04553,-0.00107;568.94232,1181.41919,-10.3125;611.63007,979.94543,-12.82031;651.54944,833.83331,-11.66406;685.95093,700.87451,-8.83594;728.23108,1151.47791,-3.1582;791.17438,1038.20471,4.59375;804.9364,955.66278,16.57812;803.59332,906.64679,26.64062;733.02472,1270.88733,9.03906;803.53156,1179.85486,18.5;817.13104,1092.57239,32.6875;814.07642,1025.99268,45.15625;724.73163,1361.70752,20.89062;779.6264,1294.33997,31.70312;794.0152,1215.30762,43.84375;793.37067,1153.60413,53.40625;708.35083,1434.69336,31.85938;745.77942,1395.29187,41.625;758.28778,1347.22632,49.625;760.51129,1300.9436,56.90625;
577.86505,1477.5647,-0.00039;583.5578,1209.03003,-10.00781;632.01312,1027.63269,-10.49219;675.53046,900.52301,-7.16797;711.75409,777.47552,-2.63477;750.69135,1172.10498,1.25195;811.54626,1064.95874,12.00781;828.87299,988.14081,22.21875;833.87494,940.61005,29.5;758.64014,1290.19641,13.60938;813.8197,1182.9032,26.48438;817.34277,1090.41577,37.875;812.07471,1022.82336,46.625;749.83734,1377.771,25.64062;790.1264,1290.71484,38.78125;793.93927,1201.02051,47.78125;787.27881,1133.67322,54;732.84216,1438.72351,36.625;761.08868,1369.48462,47.78125;763.46082,1306.14685,54.34375;758.70221,1253.52246,59.40625;
