0.32475,-0.21929,0.30551;0.34093,-0.23649,0.33018;0.35724,-0.25146,0.35146;0.36847,-0.26055,0.36509;0.3774,-0.268,0.37826;0.37503,-0.27038,0.38367;0.39271,-0.2851,0.40299;0.40324,-0.29412,0.41594;0.41153,-0.3022,0.42765;0.37151,-0.26699,0.37789;0.38772,-0.28129,0.39586;0.38984,-0.28192,0.39647;0.39424,-0.28625,0.40336;0.36764,-0.26311,0.37136;0.38012,-0.27368,0.3839;0.37605,-0.26855,0.37728;0.37585,-0.26841,0.37851;0.36488,-0.26016,0.36544;0.37273,-0.2669,0.37369;0.37051,-0.26408,0.37053;0.37181,-0.26496,0.37345;
0.32475,-0.21929,0.30551;0.34093,-0.23649,0.33018;0.35724,-0.25146,0.35146;0.36847,-0.26055,0.36509;0.3774,-0.268,0.37826;0.37503,-0.27038,0.38367;0.39271,-0.2851,0.40299;0.40324,-0.29412,0.41594;0.41153,-0.3022,0.42765;0.37151,-0.26699,0.37789;0.38772,-0.28129,0.39586;0.38984,-0.28192,0.39647;0.39424,-0.28625,0.40336;0.36764,-0.26311,0.37136;0.38012,-0.27368,0.3839;0.37605,-0.26855,0.37728;0.37585,-0.26841,0.37851;0.36488,-0.26016,0.36544;0.37273,-0.2669,0.37369;0.37051,-0.26408,0.37053;0.37181,-0.26496,0.37345;
0.32475,-0.21929,0.30551;0.34093,-0.23649,0.33018;0.35724,-0.25146,0.35146;0.36847,-0.26055,0.36509;0.3774,-0.268,0.37826;0.37503,-0.27038,0.38367;0.39271,-0.2851,0.40299;0.40324,-0.29412,0.41594;0.41153,-0.3022,0.42765;0.37151,-0.26699,0.37789;0.38772,-0.28129,0.39586;0.38984,-0.28192,0.39647;0.39424,-0.28625,0.40336;0.36764,-0.26311,0.37136;0.38012,-0.27368,0.3839;0.37605,-0.26855,0.37728;0.37585,-0.26841,0.37851;0.36488,-0.26016,0.36544;0.37273,-0.2669,0.37369;0.37051,-0.26408,0.37053;0.37181,-0.26496,0.37345;
0.80891,-1.35173,1.71056;0.78111,-1.34279,1.78236;0.78367,-1.32077,1.83912;0.79126,-1.30326,1.88221;0.79177,-1.29897,1.92002;0.8346,-1.28857,1.89051;0.84532,-1.27349,1.9527;0.84566,-1.29216,1.98733;0.83616,-1.30707,2.00094;0.86145,-1.2763,1.88108;0.86726,-1.26537,1.92711;0.85456,-1.28147,1.9568;0.83906,-1.2966,1.97215;0.8796,-1.27969,1.86261;0.88545,-1.27585,1.90846;0.86315,-1.27789,1.9199;0.8418,-1.28233,1.92131;0.88786,-1.29598,1.83951;0.89186,-1.29713,1.87934;0.87409,-1.29704,1.88794;0.85428,-1.30043,1.89043;
0.80891,-1.35173,1.71056;0.78111,-1.34279,1.78236;0.78367,-1.32077,1.83912;0.79126,-1.30326,1.88221;0.79177,-1.29897,1.92002;0.8346,-1.28857,1.89051;0.84532,-1.27349,1.9527;0.84566,-1.29216,1.98733;0.83616,-1.30707,2.00094;0.86145,-1.2763,1.88108;0.86726,-1.26537,1.92711;0.85456,-1.28147,1.9568;0.83906,-1.2966,1.97215;0.8796,-1.27969,1.86261;0.88545,-1.27585,1.90846;0.86315,-1.27789,1.9199;0.8418,-1.28233,1.92131;0.88786,-1.29598,1.83951;0.89186,-1.29713,1.87934;0.87409,-1.29704,1.88794;0.85428,-1.30043,1.89043;
0.32151,-0.17015,0.30531;0.33173,-0.18568,0.32646;0.34832,-0.19977,0.34735;0.36147,-0.2086,0.36142;0.3734,-0.21738,0.37689;0.37027,-0.21468,0.38252;0.38939,-0.22875,0.40277;0.40243,-0.23843,0.41771;0.41276,-0.24703,0.43113;0.3709,-0.21105,0.3784;0.38654,-0.22322,0.39466;0.38694,-0.22301,0.39199;0.39136,-0.22697,0.39762;0.3703,-0.20758,0.37343;0.38233,-0.21659,0.38466;0.3741,-0.21053,0.37204;0.37241,-0.21005,0.37071;0.3705,-0.20489,0.36909;0.37748,-0.21033,0.3756;0.37158,-0.20668,0.36759;0.37165,-0.2075,0.36847;
0.32151,-0.17015,0.30531;0.33173,-0.18568,0.32646;0.34832,-0.19977,0.34735;0.36147,-0.2086,0.36142;0.3734,-0.21738,0.37689;0.37027,-0.21468,0.38252;0.38939,-0.22875,0.40277;0.40243,-0.23843,0.41771;0.41276,-0.24703,0.43113;0.3709,-0.21105,0.3784;0.38654,-0.22322,0.39466;0.38694,-0.22301,0.39199;0.39136,-0.22697,0.39762;0.3703,-0.20758,0.37343;0.38233,-0.21659,0.38466;0.3741,-0.21053,0.37204;0.37241,-0.21005,0.37071;0.3705,-0.20489,0.36909;0.37748,-0.21033,0.3756;0.37158,-0.20668,0.36759;0.37165,-0.2075,0.36847;
0.7853,-1.31435,1.73743;0.76191,-1.25747,1.69851;0.75384,-1.22019,1.71828;0.74273,-1.19814,1.75777;0.73766,-1.18773,1.78823;0.75601,-1.1793,1.82842;0.70979,-1.15815,1.90057;0.6962,-1.16295,1.93753;0.69156,-1.16944,1.95591;0.75122,-1.18808,1.88056;0.70297,-1.16548,1.94798;0.69172,-1.16402,1.96612;0.69385,-1.17124,1.97915;0.74362,-1.20466,1.9231;0.69978,-1.18054,1.9847;0.6878,-1.17128,1.98547;0.68664,-1.17474,1.98033;0.73049,-1.22435,1.94988;0.69768,-1.19376,1.99915;0.68509,-1.17896,1.99669;0.68344,-1.17439,1.9867;
0.7853,-1.31435,1.73743;0.76191,-1.25747,1.69851;0.75384,-1.22019,1.71828;0.74273,-1.19814,1.75777;0.73766,-1.18773,1.78823;0.75601,-1.1793,1.82842;0.70979,-1.15815,1.90057;0.6962,-1.16295,1.93753;0.69156,-1.16944,1.95591;0.75122,-1.18808,1.88056;0.70297,-1.16548,1.94798;0.69172,-1.16402,1.96612;0.69385,-1.17124,1.97915;0.74362,-1.20466,1.9231;0.69978,-1.18054,1.9847;0.6878,-1.17128,1.98547;0.68664,-1.17474,1.98033;0.73049,-1.22435,1.94988;0.69768,-1.19376,1.99915;0.68509,-1.17896,1.99669;0.68344,-1.17439,1.9867;
0.23983,-0.28986,0.40567;0.23379,-0.29599,0.4334;0.23723,-0.30546,0.46361;0.24067,-0.31468,0.48522;0.2443,-0.32304,0.50596;0.26285,-0.31915,0.50071;0.26802,-0.33114,0.53088;0.27505,-0.34535,0.55542;0.28123,-0.35861,0.57679;0.27194,-0.32068,0.49838;0.27659,-0.33403,0.52626;0.27647,-0.33967,0.53666;0.27902,-0.34779,0.55003;0.27857,-0.32306,0.4942;0.28157,-0.33341,0.51406;0.27631,-0.33068,0.51091;0.27481,-0.33357,0.51374;0.28443,-0.32737,0.48974;0.28704,-0.33459,0.504;0.283,-0.33355,0.50262;0.28211,-0.33697,0.50603;
